EmployeeID,DepartmentID,Salary,Bonus,ExperienceYears,Age
1,5,63391,18699,21,38
2,1,148691,26438,3,22
3,4,141757,16088,10,49
4,8,73664,5808,16,33
5,7,87384,14170,6,24
6,9,51027,21260,13,30
7,5,55464,22109,10,51
8,4,54485,15693,21,28
9,8,148366,12701,8,23
10,9,39456,22600,22,29
11,7,94795,25435,12,50
12,7,55554,23581,22,31
13,5,66922,19191,17,55
14,4,33409,24190,10,57
15,1,89327,22356,14,33
16,7,111400,27018,24,56
17,1,56639,18704,24,33
18,1,120110,28867,21,32
19,5,83627,7123,18,57
20,9,103424,16533,0,30
21,6,39692,21608,3,29
22,3,109037,19448,13,27
23,3,98840,19586,13,22
24,7,74200,6814,2,43
25,6,113063,18001,16,59
26,9,77415,22490,2,59
27,6,38074,21508,15,41
28,5,35549,24630,13,43
29,7,49963,18380,19,49
30,1,111456,20406,12,34
31,7,116362,7931,14,46
32,3,121607,18567,13,25
33,9,72265,19038,23,51
34,6,36061,17317,24,45
35,9,78226,7971,18,51
36,5,48810,7017,5,40
37,7,80006,28799,9,37
38,4,142538,7415,14,22
39,7,133502,24480,20,45
40,1,42800,6609,21,33
41,7,136192,5717,19,59
42,8,128959,24945,5,48
43,5,145433,17662,22,26
44,2,127228,11782,24,23
45,5,95476,6048,9,55
46,6,89460,16618,6,38
47,2,77767,13307,21,31
48,6,48054,12905,16,40
49,6,95319,14993,17,25
50,1,122789,15338,16,39
51,1,65397,10578,8,42
52,3,33233,18834,9,39
53,3,131205,23004,9,36
54,4,110020,11548,24,44
55,2,45068,12381,6,24
56,9,85727,26164,15,35
57,7,110610,25176,17,45
58,7,90453,7941,5,55
59,6,124135,10695,19,34
60,3,45832,11401,0,39
61,6,128464,20179,0,58
62,8,106242,19456,11,56
63,8,33682,18097,20,27
64,9,112298,11197,1,50
65,1,43383,10450,3,39
66,1,78160,29816,16,45
67,3,113332,27258,3,36
68,3,43666,22937,10,28
69,8,78817,22396,21,38
70,1,111198,13378,3,48
71,2,130695,6881,0,36
72,2,54642,11799,6,39
73,3,61830,19597,17,37
74,6,123067,18675,8,33
75,1,30234,9586,2,27
76,2,77616,13430,7,47
77,1,29221,27831,23,30
78,5,31410,7345,18,54
79,7,100055,21459,3,56
80,8,81413,14548,17,45
81,1,21051,10877,19,26
82,7,130529,11785,10,44
83,5,95301,20833,13,38
84,1,96918,9922,24,43
85,3,98116,29474,17,26
86,7,142226,23714,15,49
87,1,76563,9686,2,45
88,7,117859,19407,14,37
89,5,64757,23286,3,44
90,1,146169,17205,4,31
91,1,141008,26054,16,46
92,1,97475,28527,6,54
93,9,71257,18179,15,48
94,3,115500,23443,13,23
95,5,20307,21524,15,31
96,9,76889,23173,6,58
97,6,88895,5016,8,34
98,9,115184,18374,3,46
99,8,55944,21848,21,41
100,8,119555,25855,10,59
101,1,58134,23211,1,50
102,9,47323,10956,11,28
103,6,136205,21473,11,40
