ProductID,CategoryID,StockQuantity,CostPrice,SellingPrice,SupplierID
1000,11,584,997,540,230
1001,9,685,75,168,211
1002,10,231,459,1632,220
1003,17,269,807,425,293
1004,12,939,580,1865,261
1005,6,446,826,166,290
1006,19,873,366,403,289
1007,11,221,581,1071,232
1008,9,51,155,583,225
1009,6,115,798,1028,289
1010,16,537,867,1671,299
1011,16,564,513,1540,239
1012,6,876,295,1282,264
1013,5,540,130,248,258
1014,4,18,711,1150,214
1015,2,814,958,1086,200
1016,6,391,445,683,210
1017,9,790,571,347,254
1018,17,628,882,1224,201
1019,14,617,785,801,264
1020,7,418,975,195,294
1021,19,990,313,1507,243
1022,1,308,710,381,215
1023,15,738,839,421,221
1024,18,863,323,1519,217
1025,3,185,755,1401,246
1026,18,260,993,628,280
1027,2,527,221,362,229
1028,10,272,314,1742,209
1029,11,159,871,679,298
1030,3,869,75,1763,257
1031,7,761,518,1416,261
1032,8,223,911,393,284
1033,19,255,525,1731,279
1034,18,179,405,494,205
1035,13,19,75,612,266
1036,13,623,83,1020,240
1037,19,631,313,909,242
1038,12,705,187,1303,284
1039,17,467,865,1019,276
1040,12,622,744,792,217
1041,13,209,924,334,257
1042,12,512,803,1051,259
1043,19,57,615,1954,287
1044,14,92,511,1460,226
1045,7,220,217,1131,267
1046,13,722,680,1566,221
1047,6,939,704,638,223
1048,19,231,130,919,239
1049,19,773,806,1781,273
1050,4,363,963,1214,265
1051,19,614,913,1977,239
1052,9,561,919,371,205
1053,16,373,456,1957,217
1054,4,621,623,1128,280
1055,6,455,95,1717,286
1056,8,87,648,1342,229
1057,16,19,660,1241,220
1058,5,13,856,692,261
1059,10,132,960,1075,209
1060,13,936,102,1705,212
1061,14,807,753,214,275
1062,7,33,525,362,208
1063,6,891,641,1429,267
1064,7,207,65,1777,238
1065,5,812,409,1545,223
1066,18,198,536,306,233
1067,12,591,887,1746,260
1068,6,582,755,402,240
1069,1,154,551,211,204
1070,4,589,190,1540,278
1071,19,77,669,1678,249
1072,12,171,864,1982,203
1073,15,288,826,1408,250
1074,3,544,496,1763,251
1075,8,811,339,284,238
1076,11,787,258,1864,207
1077,16,878,524,1000,244
1078,9,419,462,320,287
1079,3,6,726,1987,227
1080,5,159,476,1567,226
1081,14,239,903,1240,264
1082,15,962,420,1193,233
1083,6,422,881,997,280
1084,4,988,713,1193,261
1085,8,535,339,721,261
1086,19,725,481,526,237
1087,5,69,317,743,225
1088,13,879,200,667,223
1089,16,215,768,542,238
1090,1,103,304,700,220
1091,13,726,402,1260,293
1092,11,53,426,603,246
1093,8,805,702,230,247
1094,8,329,904,317,212
1095,14,847,407,787,202
1096,13,202,657,270,231
1097,3,287,990,1598,234
1098,4,44,419,711,218
1099,15,828,276,1091,213
1100,15,197,754,1252,247
1101,13,215,352,156,285
1102,9,480,875,1304,280
1103,10,308,438,345,267
1104,12,895,426,243,244
1105,14,434,167,1174,218
1106,1,331,54,467,263
1107,14,695,493,1582,265
1108,14,26,401,317,278
1109,8,165,804,715,265
1110,16,317,582,1690,274
1111,14,273,713,1380,244
1112,1,382,689,1981,286
1113,16,364,173,1279,273
1114,18,102,707,1688,266
1115,7,959,326,541,268
1116,15,502,871,940,202
1117,17,844,443,1055,237
1118,19,372,713,798,276
1119,13,615,409,975,241
1120,9,925,672,1785,282
1121,15,244,518,875,239
1122,3,816,677,861,249
1123,1,168,749,1044,234
1124,16,627,106,1933,223
1125,8,652,300,1022,287
1126,13,417,945,1034,216
1127,8,355,968,1846,239
1128,17,477,199,124,273
1129,14,124,501,905,265
1130,7,536,211,1976,243
1131,15,705,169,1787,222
1132,16,895,631,1659,205
1133,19,611,973,863,265
1134,6,401,400,1183,220
1135,1,516,148,1590,234
1136,12,530,216,533,228
1137,18,681,859,978,206
1138,16,785,712,1189,292
1139,12,253,887,1009,252
1140,13,120,563,664,236
1141,8,31,713,205,222
1142,1,660,450,195,296
1143,7,777,414,1811,207
1144,15,36,626,1674,275
1145,13,688,375,267,247
1146,13,341,630,141,209
1147,9,12,682,203,278
1148,15,182,670,1968,223
1149,4,656,877,1327,289
1150,13,264,296,619,246
1151,12,87,483,381,252
1152,5,939,142,1166,238
1153,7,461,317,1046,266
1154,8,45,664,1233,265
1155,5,391,992,1333,205
1156,9,118,673,848,220
1157,14,932,370,1991,272
1158,12,530,972,930,273
1159,4,446,865,148,235
1160,8,731,905,214,202
1161,17,941,111,1278,287
1162,8,744,349,1772,285
1163,1,605,452,602,277
1164,2,966,697,1802,241
1165,4,762,616,1956,244
1166,1,761,669,1834,243
1167,7,793,352,1085,290
1168,1,743,819,170,232
1169,9,45,302,1111,259
1170,3,885,783,1642,285
1171,12,507,527,1835,292
1172,19,557,418,1459,282
1173,15,970,728,166,282
1174,16,525,990,1616,269
1175,10,596,209,1773,282
1176,6,830,215,1877,276
1177,17,839,254,1066,225
1178,17,2,316,1336,285
1179,19,27,187,280,220
1180,18,380,417,1889,299
1181,11,156,492,712,201
1182,7,854,907,1986,246
1183,10,913,809,1722,229
1184,7,930,616,796,226
1185,5,510,965,702,270
1186,12,332,770,347,219
1187,16,843,66,1337,249
1188,18,686,117,458,294
1189,3,113,182,348,222
1190,15,388,749,737,212
1191,5,486,968,1049,280
1192,13,842,479,1639,203
1193,19,249,357,1211,213
1194,12,570,699,762,219
1195,5,714,223,275,212
1196,6,314,461,822,202
1197,7,238,146,525,289
1198,10,233,732,1894,289
1199,16,302,203,1726,281
1200,8,606,744,870,295
1201,9,990,291,802,277
1202,4,652,353,180,246
1203,8,333,334,1026,202
1204,7,112,76,237,200
1205,15,620,451,1556,289
1206,3,361,409,569,223
1207,17,856,109,449,234
1208,11,800,251,1249,213
1209,9,96,811,1991,266
1210,5,957,923,1432,212
1211,10,846,630,1978,246
1212,15,15,419,1353,249
1213,14,555,582,1583,277
1214,4,953,201,1468,284
1215,2,375,151,409,225
1216,12,741,948,1143,202
1217,1,389,656,1684,250
1218,5,619,495,1101,239
1219,6,216,922,1770,267
1220,11,398,278,1664,235
1221,8,259,174,1683,250
1222,7,823,819,1600,200
1223,4,319,883,368,232
1224,6,195,930,1126,206
1225,16,477,987,869,251
1226,15,417,285,115,210
1227,14,474,211,705,226
1228,12,606,603,1481,213
1229,12,567,837,1769,285
1230,16,543,402,912,279
1231,15,230,117,1962,245
1232,13,883,222,1256,275
1233,11,520,892,1435,209
1234,17,702,686,581,223
1235,15,872,731,994,260
1236,14,199,608,1667,217
1237,10,845,310,1428,285
1238,12,672,266,368,208
1239,16,598,866,513,216
1240,15,20,173,124,257
1241,10,310,854,415,212
1242,4,587,211,670,249
1243,9,952,250,824,205
1244,9,897,503,1791,284
1245,11,652,451,1107,250
1246,11,637,511,1949,235
1247,7,762,324,1399,270
1248,10,899,255,488,299
1249,4,595,89,821,224
1250,5,433,322,543,210
1251,5,370,749,1098,243
1252,11,559,916,1550,213
1253,9,890,142,1180,228
1254,16,77,91,796,273
1255,9,541,514,1070,249
1256,4,284,428,1689,204
1257,2,647,156,820,271
1258,14,139,377,467,268
1259,3,552,114,441,287
1260,18,997,414,1928,256
1261,6,281,870,1975,225
1262,11,561,533,403,205
1263,18,257,696,863,215
1264,12,822,950,1497,259
1265,5,359,73,915,299
1266,9,439,589,211,211
1267,18,269,111,977,274
1268,19,133,540,1129,202
1269,3,745,322,1029,262
1270,9,639,278,802,263
1271,4,103,69,945,261
1272,17,765,52,1043,205
1273,17,94,470,378,218
1274,2,848,779,481,217
1275,9,728,960,1975,279
1276,9,572,356,112,286
1277,5,479,481,402,242
1278,15,779,185,1679,272
1279,15,240,958,1740,202
1280,3,12,993,259,271
1281,19,146,564,253,237
1282,3,939,242,853,267
1283,6,751,634,280,275
1284,4,600,464,1649,243
1285,13,94,922,1303,294
1286,13,826,167,476,288
1287,11,292,715,1927,279
1288,5,24,258,875,262
