StudentID,ClassID,MathMarks,ScienceMarks,EnglishMarks,AttendancePercentage
1,14,39,91,50,82
2,12,84,71,43,74
3,14,76,41,47,80
4,1,46,74,62,86
5,12,52,73,61,51
6,10,51,96,85,82
7,12,96,87,98,88
8,1,75,38,86,92
9,13,68,59,72,92
10,14,79,41,99,81
11,8,92,62,52,67
12,14,85,54,97,66
13,2,68,45,85,83
14,12,78,41,43,88
15,10,49,57,47,56
16,5,84,95,74,91
17,12,66,68,89,84
18,4,37,53,77,79
19,8,85,92,78,61
20,2,82,43,67,84
21,10,51,82,58,60
22,9,41,75,70,93
23,7,47,82,44,53
24,13,38,79,54,74
25,7,44,59,46,97
26,1,51,59,96,81
27,14,86,53,52,69
28,12,40,73,97,99
29,2,43,61,59,80
30,4,55,97,46,53
31,4,58,53,55,87
32,11,38,62,59,96
33,14,58,67,45,50
34,3,93,44,98,52
35,7,37,64,84,86
36,12,74,56,96,71
37,8,82,37,83,66
38,2,88,82,48,63
39,4,69,36,35,90
40,14,90,88,59,84
41,3,74,40,93,62
42,2,80,74,39,84
43,12,47,36,53,92
44,13,61,36,57,51
45,14,40,89,43,96
46,6,51,94,84,62
47,13,70,40,50,65
48,4,36,53,67,67
49,6,86,61,36,56
50,2,86,35,48,94
51,12,77,67,35,85
52,4,56,74,92,90
53,11,89,66,50,79
54,6,94,51,81,91
55,14,92,42,78,90
56,5,46,91,48,56
57,3,73,76,58,64
58,8,47,43,89,89
59,7,75,69,49,68
60,3,91,87,68,92
61,6,87,88,36,86
62,4,46,59,61,51
63,11,47,96,57,91
64,5,91,89,48,97
65,11,74,80,97,62
66,5,79,58,99,89
67,7,69,80,97,90
68,11,37,56,98,92
69,5,39,45,66,92
70,11,45,82,47,80
71,3,90,42,53,65
72,10,44,73,58,91
73,5,68,69,45,93
74,7,65,83,93,55
75,5,75,80,49,77
76,5,97,72,44,81
77,9,66,42,75,93
78,3,54,88,61,59
79,13,91,71,94,99
80,6,84,74,86,67
81,1,59,68,62,53
82,10,46,51,99,58
83,5,73,67,51,56
