OrderID,CustomerID,ProductID,Quantity,Price,Discount
1,151,1033,12,359,3
2,192,1007,14,1089,1
3,114,1039,15,1065,15
4,171,1082,16,465,8
5,160,1041,1,1881,8
6,120,1040,10,1910,5
7,182,1005,8,643,10
8,186,1051,18,748,21
9,174,1025,1,1647,23
10,174,1063,2,913,21
11,187,1097,1,1139,0
12,199,1058,1,1252,3
13,123,1055,9,674,12
14,102,1058,13,1232,22
15,121,1069,1,1112,12
16,152,1032,13,1656,12
17,101,1052,7,769,1
18,187,1021,2,368,8
19,129,1020,6,1285,23
20,137,1069,7,1383,7
21,101,1069,14,1023,6
22,163,1003,18,1225,3
23,159,1093,15,1629,17
24,120,1074,2,1858,2
25,132,1061,10,1694,27
26,175,1061,12,346,5
27,157,1093,17,1763,11
28,121,1094,8,1918,11
29,188,1023,11,1960,20
30,148,1054,3,1660,27
31,190,1008,6,230,7
32,158,1002,9,452,21
33,141,1030,6,295,21
34,191,1039,9,1916,0
35,159,1035,7,1029,3
36,179,1023,9,1789,20
37,114,1094,18,1505,27
38,161,1005,12,1121,10
39,161,1065,8,744,2
40,146,1083,8,326,12
41,161,1091,18,800,24
42,150,1074,15,1599,16
43,154,1003,7,1600,21
44,163,1078,11,364,21
45,102,1005,16,1495,9
46,150,1093,4,1609,20
47,106,1050,6,1557,11
48,120,1061,3,745,14
49,172,1056,9,310,20
50,138,1065,10,1695,9
51,117,1078,14,1500,13
52,103,1074,11,1518,12
53,188,1007,18,1573,4
54,159,1025,12,1042,5
55,113,1050,12,1487,23
56,108,1044,13,1999,1
57,189,1043,13,556,21
58,152,1004,19,824,16
59,101,1069,19,1851,3
60,183,1025,14,1349,13
61,191,1067,4,1081,9
62,159,1018,13,1254,2
63,170,1083,8,687,24
64,143,1096,19,575,2
65,107,1019,12,1921,14
66,146,1011,18,1085,5
67,134,1046,6,1400,16
68,177,1000,18,255,11
69,180,1089,19,1883,21
70,135,1013,5,1341,19
71,149,1063,9,289,23
72,103,1037,3,1540,28
73,101,1036,10,1080,10
74,105,1010,19,1798,24
75,153,1099,3,1815,3
76,103,1076,15,645,25
77,153,1002,1,140,27
78,192,1032,7,406,25
79,162,1005,12,1042,5
80,117,1049,17,437,0
81,189,1009,5,1437,19
82,143,1004,4,1198,22
83,133,1022,12,1052,27
84,173,1009,18,378,15
85,161,1043,17,1299,14
86,199,1001,19,995,16
87,113,1012,9,1785,7
88,194,1039,4,372,27
89,147,1001,2,936,25
90,114,1083,4,719,11
91,171,1064,2,1774,26
92,177,1062,15,961,21
93,186,1072,2,1906,20
94,161,1016,4,1982,9
95,139,1008,6,1030,26
96,184,1074,7,388,14
97,179,1014,10,823,29
98,181,1023,19,992,8
99,152,1037,19,371,1
100,123,1034,12,1189,4
101,125,1093,3,582,5
102,188,1094,13,1035,6
103,159,1048,18,347,20
104,140,1068,8,255,24
105,128,1061,15,1170,0
106,114,1059,1,553,22
107,144,1049,3,300,25
108,164,1077,8,1783,6
109,188,1074,4,223,19
110,170,1008,16,100,24
111,108,1033,10,1067,29
112,187,1075,12,1882,11
113,100,1098,14,954,15
114,107,1034,14,739,15
115,187,1000,2,290,10
116,162,1039,5,1702,20
117,110,1063,5,615,3
118,180,1021,6,541,12
119,107,1059,13,1938,6
120,134,1063,9,1929,3
121,134,1092,15,242,14
122,132,1071,14,1314,18
123,104,1010,7,632,8
124,140,1013,2,326,10
125,127,1059,7,1436,7
126,106,1029,6,1752,0
127,172,1034,17,1048,22
128,171,1084,2,1425,24
129,111,1036,3,1777,23
130,133,1004,5,559,7
131,132,1082,5,1524,12
132,147,1077,1,650,21
133,122,1025,8,492,26
134,161,1061,12,1990,3
135,187,1003,4,1887,7
136,136,1088,13,944,2
137,198,1041,15,1330,28
138,143,1088,11,309,8
139,185,1017,10,1238,28
140,190,1039,3,1860,1
141,134,1071,14,745,1
142,164,1038,16,1374,27
143,198,1013,10,318,12
144,146,1031,10,506,14
145,177,1050,12,1566,27
146,102,1037,9,1726,22
